Other tradables
"Food, Beverages and Tobacco"
Textiles and leather
Wood and Products of Wood and Cork
"Pulp, Paper, Paper , Printing and Publishing"
"Coke, Refined Petroleum and Nuclear Fuel"
Chemicals and Chemical Products
Rubber and Plastics
Other Non-Metallic Mineral
Basic Metals and Fabricated Metal
"Machinery, Nec"
Electrical and Optical Equipment
Transport Equipment
"Manufacturing, Nec; Recycling"
Non-tradables
